"Camiseta Basica","Camiseta de algodao confortavel","M","Azul","29.99","100"
"Calça Jeans","Calça jeans de corte reto","32","Preto","79.99","50"
"Tênis Esportivo","Tênis leve e respirável","42","Branco","120.00","30"
"Jaqueta de Couro","Jaqueta de couro sintético","L","Marrom","199.99","20"
"Blusa de Frio","Blusa de lã para inverno","M","Vermelho","89.99","60"
"Vestido Floral","Vestido com estampa floral","S","Verde","59.99","45"
"Mochila Escolar","Mochila resistente para uso diário","Único","Azul","49.99","80"
"Relógio Digital","Relógio com várias funcionalidades","Único","Preto","99.99","70"
"Óculos de Sol","Óculos com proteção UV","Único","Marrom","39.99","120"
"Boné Esportivo","Boné ajustável para atividades ao ar livre","Único","Cinza","19.99","90"
"Camisa Polo","Camisa polo de algodão","G","Azul","39.99","40"
"Sapato Social","Sapato de couro para ocasiões formais","40","Preto","149.99","25"
"Saia Plissada","Saia de tecido leve e plissada","M","Rosa","69.99","35"
"Bermuda de Praia","Bermuda confortável para praia","G","Verde","29.99","75"
"Chinelo de Borracha","Chinelo confortável de borracha","39","Azul","19.99","200"
"Jaqueta Esportiva","Jaqueta para atividades físicas","L","Cinza","59.99","30"
"Calça Legging","Calça legging de alta elasticidade","P","Preto","49.99","60"
"Camiseta Estampada","Camiseta com estampa moderna","M","Branco","24.99","80"
"Vestido de Festa","Vestido elegante para festas","P","Vermelho","129.99","15"
"Bolsa de Couro","Bolsa de couro sintético","Único","Marrom","89.99","50"
"Relógio Analógico","Relógio clássico e elegante","Único","Dourado","159.99","10"
"Óculos de Grau","Óculos com lentes antirreflexo","Único","Preto","79.99","70"
"Gorro de Lã","Gorro quente para inverno","Único","Cinza","14.99","150"
"Camiseta Regata","Camiseta regata para atividades físicas","M","Preto","19.99","90"
"Calça de Moletom","Calça confortável de moletom","G","Cinza","39.99","40"
"Blusa de Tricô","Blusa de tricô para inverno","M","Bege","59.99","55"
"Vestido Longo","Vestido longo para ocasiões especiais","G","Azul","99.99","25"
"Cinto de Couro","Cinto elegante de couro","Único","Preto","29.99","100"
"Sunga de Natação","Sunga para atividades aquáticas","M","Preto","24.99","45"
"Maiô de Natação","Maiô para competições aquáticas","G","Azul","34.99","30"
"Jaqueta Impermeável","Jaqueta resistente à água","L","Vermelho","89.99","20"
"Luvas de Inverno","Luvas quentes para inverno","Único","Preto","19.99","80"
"Cachecol de Lã","Cachecol de lã para frio intenso","Único","Verde","24.99","60"
"Blusa de Seda","Blusa de seda para ocasiões especiais","P","Branco","79.99","35"
"Camisa Social","Camisa social para trabalho","G","Azul","49.99","50"
"Polo Listrada","Camisa polo listrada","M","Preto","39.99","45"
"Tênis Casual","Tênis confortável para uso diário","41","Marrom","89.99","60"
"Boné de Algodão","Boné ajustável de algodão","Único","Azul","14.99","80"
"Calça de Sarja","Calça resistente de sarja","42","Bege","59.99","40"
"Blusa com Capuz","Blusa de moletom com capuz","L","Preto","49.99","30"
"Saia Longa","Saia longa de tecido leve","M","Roxo","39.99","55"
"Camisa Floral","Camisa com estampa floral","G","Branco","29.99","70"
"Sandália de Couro","Sandália confortável de couro","38","Marrom","69.99","25"
"Relógio Esportivo","Relógio resistente para esportes","Único","Preto","119.99","50"
"Óculos de Mergulho","Óculos para atividades de mergulho","Único","Azul","49.99","30"
"Chapéu de Praia","Chapéu largo para proteção solar","Único","Bege","24.99","40"
"Camiseta Polo","Camiseta polo de alta qualidade","L","Branco","39.99","60"
"Blusa Cropped","Blusa curta e estilosa","P","Preto","29.99","70"
"Calça Capri","Calça capri confortável para verão","G","Azul","34.99","40"
"Camiseta Longline","Camiseta com corte alongado","M","Vermelho","24.99","50"
"Tênis de Corrida","Tênis leve e respirável para corrida","42","Cinza","99.99","30"
"Jaqueta Jeans","Jaqueta jeans clássica","G","Azul","79.99","25"
"Blusa de Manga Longa","Blusa confortável de manga longa","M","Preto","29.99","60"
"Saia Midi","Saia de comprimento médio","S","Verde","49.99","35"
"Bermuda Jeans","Bermuda jeans casual","M","Azul","29.99","80"
"Camiseta Básica","Camiseta de algodão confortável","G","Branco","29.99","70"
"Calça de Linho","Calça leve de linho para verão","M","Bege","59.99","20"
"Tênis Skatista","Tênis resistente para skatistas","40","Preto","89.99","40"
"Jaqueta Bomber","Jaqueta bomber estilosa","L","Vermelho","79.99","30"
"Blusa com Babados","Blusa delicada com babados","P","Rosa","39.99","50"
"Vestido Tubinho","Vestido justo e elegante","P","Preto","79.99","20"
"Chinelo de Praia","Chinelo confortável para praia","39","Azul","19.99","100"
"Cinto Trançado","Cinto trançado de tecido","Único","Marrom","24.99","70"
"Blusa Ombro a Ombro","Blusa estilosa ombro a ombro","M","Branco","29.99","40"
"Calça Pantalona","Calça ampla e confortável","G","Preto","49.99","30"
"Tênis de Caminhada","Tênis leve para caminhadas","41","Azul","79.99","50"
"Vestido de Verão","Vestido leve para o verão","P","Amarelo","39.99","60"
"Camisa de Time","Camisa oficial de time de futebol","G","Vermelho","59.99","20"
"Blusa de Moletom","Blusa de moletom confortável","L","Cinza","39.99","40"
"Short de Corrida","Short leve para corrida","M","Preto","24.99","80"
"Jaqueta Puffer","Jaqueta acolchoada para inverno","G","Azul","99.99","15"
"Sandália Rasteira","Sandália confortável para verão","38","Bege","29.99","50"
"Camiseta Estonada","Camiseta estonada de algodão","M","Azul","34.99","60"
"Vestido Curto","Vestido curto para festas","P","Vermelho","49.99","40"
"Calça Cargo","Calça cargo com bolsos","M","Preto","59.99","45"
"Boné de Lã","Boné quente para inverno","Único","Cinza","19.99","80"
"Tênis de Basquete","Tênis resistente para basquete","43","Branco","129.99","25"
"Blusa de Veludo","Blusa macia de veludo","M","Azul","49.99","30"
"Camisa Polo Listrada","Camisa polo listrada elegante","L","Preto","39.99","50"
"Calça Skinny","Calça skinny ajustada","P","Azul","39.99","70"
"Blusa com Renda","Blusa delicada com detalhes em renda","P","Branco","29.99","60"
"Saia Godê","Saia rodada de tecido leve","M","Preto","34.99","50"
"Camiseta Oversized","Camiseta larga e confortável","G","Vermelho","29.99","40"
"Tênis de Academia","Tênis resistente para academia","42","Cinza","89.99","35"
"Camiseta com Bolso","Camiseta básica com bolso","G","Azul","24.99","50"
"Vestido Midi","Vestido de comprimento médio","P","Rosa","49.99","25"
"Jaqueta Militar","Jaqueta estilosa com design militar","L","Verde","79.99","20"
"Blusa de Alça","Blusa leve com alças finas","M","Branco","19.99","70"
"Calça Jogger","Calça jogger confortável","G","Preto","39.99","55"
"Tênis de Skate","Tênis resistente para skate","41","Azul","69.99","40"
"Camisa de Linho","Camisa leve de linho","M","Bege","49.99","30"
"Blusa com Decote V","Blusa estilosa com decote V","P","Vermelho","29.99","60"
"Calça de Cintura Alta","Calça estilosa de cintura alta","G","Preto","59.99","45"
"Tênis Infantil","Tênis confortável para crianças","33","Rosa","49.99","25"
"Camiseta de Futebol","Camiseta oficial de time de futebol","L","Preto","79.99","50"
"Blusa com Estampa","Blusa com estampa moderna","M","Azul","34.99","40"
"Calça Jeans Rasgada","Calça jeans com detalhes rasgados","G","Preto","69.99","35"
"Tênis Slip-On","Tênis sem cadarço confortável","40","Branco","59.99","50"
"Vestido Maxi","Vestido longo e elegante","G","Azul","89.99","20"
"Camiseta Gráfica","Camiseta com estampa criativa","M","Preto","29.99","70"
"Calça Flare","Calça de boca larga","P","Bege","49.99","30"
"Sandália Gladiadora","Sandália estilosa de tiras","37","Marrom","69.99","25"
"Blusa de Seda","Blusa de seda sofisticada","L","Verde","79.99","15"
"Calça Capri Jeans","Calça jeans capri","M","Azul","39.99","50"
"Tênis de Corrida","Tênis leve para corrida","42","Preto","99.99","35"
"Camisa Slim Fit","Camisa ajustada ao corpo","P","Branco","59.99","40"
"Jaqueta de Sarja","Jaqueta resistente de sarja","G","Verde","79.99","20"
"Camiseta Henley","Camiseta com botões no colarinho","M","Azul","24.99","60"
"Blusa de Linho","Blusa leve de linho","L","Bege","49.99","30"
"Calça Clochard","Calça de cintura alta com amarração","P","Preto","59.99","25"
"Saia Envelope","Saia ajustável com amarração","M","Rosa","34.99","45"
"Tênis Plataforma","Tênis com sola alta","40","Branco","79.99","20"
"Camisa Xadrez","Camisa casual xadrez","G","Vermelho","39.99","50"
"Blusa com Ombreira","Blusa estilosa com ombreiras","L","Preto","49.99","30"
"Calça Jogger","Calça esportiva com punhos elásticos","M","Cinza","39.99","60"
"Sandália Anabela","Sandália com salto anabela","38","Bege","59.99","35"
"Vestido de Malha","Vestido confortável de malha","P","Verde","49.99","20"
"Camiseta Longa","Camiseta de comprimento alongado","G","Azul","29.99","40"
"Blusa de Moletom","Blusa quente de moletom","L","Preto","39.99","50"
"Calça Cargo","Calça com vários bolsos","M","Verde","49.99","25"
"Tênis Casual","Tênis confortável para o dia a dia","41","Marrom","69.99","30"
"Camiseta Polo Estampada","Camiseta polo com estampa","P","Branco","34.99","60"
"Jaqueta Varsity","Jaqueta estilo universitário","G","Azul","89.99","20"
"Blusa com Gola Alta","Blusa elegante com gola alta","L","Preto","39.99","45"
"Calça Pantalona","Calça ampla e confortável","M","Roxo","49.99","30"
"Tênis de Skate","Tênis resistente para skate","40","Preto","69.99","35"
"Saia Lápis","Saia justa ao corpo","P","Preto","39.99","25"
"Camisa de Manga Curta","Camisa casual de manga curta","G","Branco","29.99","50"
"Blusa Peplum","Blusa com babado na cintura","M","Rosa","34.99","40"
"Calça Pantacourt","Calça curta e ampla","L","Azul","39.99","20"
"Sandália de Tiras","Sandália estilosa de tiras","39","Preto","49.99","30"
"Vestido Midi","Vestido de comprimento médio","G","Verde","59.99","20"
"Camiseta Regata","Camiseta sem mangas","P","Branco","19.99","70"
"Blusa com Renda","Blusa delicada com detalhes em renda","M","Preto","29.99","60"
"Calça de Cintura Alta","Calça estilosa de cintura alta","L","Bege","49.99","25"
"Tênis de Caminhada","Tênis leve para caminhadas","42","Cinza","59.99","30"
"Camiseta Básica","Camiseta simples e confortável","G","Azul","24.99","50"
"Blusa de Alça","Blusa leve com alças finas","P","Rosa","19.99","40"
"Calça Social","Calça formal para trabalho","M","Preto","69.99","35"
"Tênis de Corrida","Tênis leve e respirável","41","Azul","89.99","25"
"Vestido Tubinho","Vestido justo ao corpo","G","Vermelho","49.99","30"
"Camiseta Oversized","Camiseta larga e confortável","L","Branco","29.99","20"
"Blusa com Botões","Blusa com detalhes de botões","P","Preto","34.99","40"
"Calça Flare Jeans","Calça jeans de boca larga","M","Azul","59.99","50"
"Sandália Plataforma","Sandália com sola plataforma","38","Preto","69.99","25"
"Vestido Longo","Vestido elegante de festa","G","Roxo","89.99","15"
"Camiseta Estampada","Camiseta com estampa divertida","P","Branco","24.99","60"
"Blusa com Transparência","Blusa com detalhes transparentes","M","Preto","39.99","30"
"Calça Cropped","Calça curta e estilosa","L","Verde","49.99","20"
"Tênis Slip-On","Tênis sem cadarço confortável","40","Branco","59.99","50"
"Camiseta Henley","Camiseta casual com botões","P","Azul","24.99","45"
"Blusa de Tricô","Blusa quente de tricô","M","Bege","49.99","25"
"Calça de Linho","Calça leve e confortável","L","Branco","59.99","30"
"Tênis Infantil","Tênis colorido para crianças","33","Rosa","39.99","40"
"Saia Plissada","Saia elegante com pregas","P","Preto","29.99","60"
"Blusa de Frio","Blusa quente para inverno","M","Cinza","39.99","50"
"Calça de Moletom","Calça confortável para descanso","L","Preto","29.99","70"
"Tênis de Academia","Tênis para exercícios físicos","42","Azul","79.99","35"
"Camiseta Gráfica","Camiseta com estampa criativa","G","Branco","24.99","20"
"Blusa de Veludo","Blusa macia e elegante","P","Vermelho","49.99","30"
"Calça Skinny Jeans","Calça jeans justa","M","Azul","39.99","25"
"Tênis Casual","Tênis estiloso para o dia a dia","41","Preto","69.99","50"
"Vestido de Festa","Vestido elegante para eventos","G","Rosa","79.99","20"
"Camiseta Polo","Camiseta polo de algodão","L","Branco","34.99","60"
"Blusa com Estampa","Blusa com estampa moderna","P","Azul","29.99","45"
"Calça Capri","Calça curta e estilosa","M","Preto","39.99","30"
"Sandália Rasteira","Sandália baixa e confortável","39","Bege","49.99","20"
"Vestido Longo","Vestido de verão","G","Verde","69.99","25"
"Camiseta Básica","Camiseta simples e versátil","P","Preto","19.99","70"
"Blusa com Gola Alta","Blusa estilosa com gola alta","M","Branco","34.99","60"
"Calça de Sarja","Calça resistente e confortável","L","Bege","49.99","40"
"Tênis de Corrida","Tênis leve para corrida","41","Preto","79.99","35"
"Camiseta Longline","Camiseta alongada estilosa","G","Azul","29.99","30"
"Blusa de Manga Longa","Blusa quente de manga longa","P","Preto","24.99","50"
"Calça Jogger","Calça esportiva com punhos","M","Cinza","39.99","25"
"Tênis de Skate","Tênis durável para skate","42","Azul","69.99","40"
"Saia Lápis","Saia justa ao corpo","L","Preto","39.99","20"
"Blusa Peplum","Blusa com babado na cintura","M","Rosa","34.99","60"
"Calça Pantacourt","Calça curta e ampla","P","Azul","49.99","50"
"Sandália Anabela","Sandália com salto anabela","38","Bege","59.99","35"
"Vestido Midi","Vestido de comprimento médio","L","Verde","69.99","20"
"Camiseta Regata","Camiseta sem mangas","M","Preto","19.99","40"
"Blusa com Renda","Blusa delicada com detalhes em renda","G","Branco","34.99","30"
"Calça de Cintura Alta","Calça estilosa de cintura alta","P","Preto","49.99","25"
"Tênis de Caminhada","Tênis leve para caminhadas","42","Cinza","59.99","30"
"Camiseta Básica","Camiseta simples e confortável","M","Azul","24.99","50"